author,comments,name,press,price,rank
埃克苏佩里,63130条评论,小王子（新课标，教育部、清华附小推荐必读书目，入选苏教版语文,辽宁少年儿童出版社,¥15.70,121.
陈卫平,190824条评论,写给儿童的中国地理（全14册）,新世界出版社,¥260.00,122.
马西米利亚诺,142763条评论,那不勒斯的萤火（被誉为欧美文坛近十年来的“灯塔”巨作，跟《追,百花洲文艺出版社,¥42.00,123.
张瑞征,39392条评论,小学生必背文言文 学生版 教育部（语文课程标准）指定篇目,中国少年儿童出版社,¥14.10,124.
兰道尔·门罗,32718条评论,万物解释者,北京联合出版公司,¥52.80,125.
余华,177429条评论,活着（精装版，余华代表作，易烊千玺推荐阅读版本）,北京十月文艺出版社,¥30.90,126.
加西亚·马尔克斯,1224447条评论,马尔克斯：百年孤独（50周年纪念版）,南海出版公司,¥41.30,127.
山下英子,386601条评论,断舍离,广西科学技术出版社,¥23.00,128.
怀左同学,49601条评论,我这么自律，就是为了不平庸至死（500册亲笔签名本随机发）,北京联合出版有限公司,¥25.50,129.
东野圭吾,1227227条评论,东野圭吾：白夜行（2017版，易烊千玺、韩雪推荐，东野圭吾无冕之,南海出版公司,¥41.10,130.
曹文轩,194540条评论,草房子（当当网定制版）,天天出版社有限责任公司,¥17.40,131.
林良,20224条评论,中国传统节日故事（全8册）,贵州人民出版社,¥119.40,132.
劳拉·努梅罗夫,45451条评论,要是你给老鼠吃饼干系列（全9册）,接力出版社,¥109.50,133.
玛兹丽施,513375条评论,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,中央编译出版社,¥30.70,134.
米切尔·恩德,105857条评论,毛毛(米切尔·恩德作品典藏),２１世纪出版社,¥22.10,135.
克利斯提昂,554961条评论,不一样的卡梅拉手绘本（1-12册）,２１世纪出版社,¥70.80,136.
孙武,62215条评论,孙子兵法·三十六计（新课标，完整原文+详细注释+准确翻译+历史故,浙江工商大学出版社,¥16.80,137.
刘永昭,65036条评论,数学绘本（全36册）,长春出版社,¥164.40,138.
乔安娜柯尔,937975条评论,神奇校车·图画书版（全12册，新增《科学博览会》1册）,贵州人民出版社,¥156.40,1.
尼·奥斯特洛夫斯基,2676条评论,钢铁是怎样炼成的(教育部统编《语文》推荐阅读丛书),人民文学出版社,¥27.90,141.
安东尼·布朗,374760条评论,我爸爸+我妈妈（全2册）,   ,¥46.50,139.
施耐庵,83249条评论,水浒传（上下册）（全两册）——中国古典文学读本丛书（九年级上,人民文学出版社,¥50.60,140.
林清玄,102716条评论,人生最美是清欢（林清玄经典散文集，执笔45周年白金纪念版！）,北京十月文艺出版社,¥43.70,41.
太宰治,867970条评论,人间失格（日本小说家太宰治的自传体小说）,作家出版社,¥16.80,2.
周国平,428413条评论,我喜欢生命本来的样子(周国平经典散文作品集),作家出版社,¥32.40,3.
丰子恺,40969条评论,丰子恺万般滋味，都是生活,华中科技大学出版社,¥29.70,4.
张嘉骅,433934条评论,少年读史记（套装全5册）,青岛出版社,¥66.40,5.
余华,1907873条评论,活着（2017年新版）,作家出版社,¥14.00,6.
